C1:5
C10:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D1:5
D2:5
D3:5
D4:1
D5:1
D6:1
D7:1
D8:1
D9:1
FB1:1
FB2:1
FB3:1
FB4:1
H1:5
H2:5
H3:5
H4:5
J1:5
J2:5
J3:1
J4:1
J5:1
J6:1
J7:1
L1:5
L2:1
L3:1
L4:1
L5:1
R1:1
R10:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
REF**:274
U1:1
