Designator,Mid X,Mid Y,Rotation,Layer
C1,16.641,3.7515,270.0,top
C2,23.641,3.6765,270.0,top
C3,34.036,-4.6775,90.0,top
J1,37.75,12.73,0.0,top
J2,20.955,-8.255,90.0,top
L1,31.0,-10.625,180.0,top
U1,20.441,3.674,270.0,top
U2,43.83,-2.118,270.0,top
