Marked,Time,Serial Bus,Rx,Tx,Errors
,-449.0ms,Serial1,,DE,
,-413.7ms,Serial1,CD,,
,-411.6ms,Serial1,04,,
,-409.5ms,Serial1,00,,
,-407.4ms,Serial1,00,,
,-405.3ms,Serial1,00,,
,-403.3ms,Serial1,00,,
,-401.2ms,Serial1,00,,
,-399.1ms,Serial1,08,,
,-397.0ms,Serial1,00,,
,-394.9ms,Serial1,05,,
,-392.8ms,Serial1,00,,
,-390.8ms,Serial1,00,,
,-388.7ms,Serial1,00,,
,-386.6ms,Serial1,00,,
,-384.5ms,Serial1,8B,,
,-382.4ms,Serial1,DE,,
,-380.4ms,Serial1,,CD,
,-378.3ms,Serial1,,00,
,-376.3ms,Serial1,,00,
,-374.2ms,Serial1,,00,
,-372.1ms,Serial1,,00,
,-370.0ms,Serial1,,00,
,-367.9ms,Serial1,,00,
,-365.9ms,Serial1,,00,
,-363.8ms,Serial1,,00,
,-361.7ms,Serial1,,00,
,-359.6ms,Serial1,,00,
,-357.5ms,Serial1,,00,
,-355.5ms,Serial1,,00,
,-353.4ms,Serial1,,00,
,-351.3ms,Serial1,,98,
,-349.2ms,Serial1,,DE,
,-313.8ms,Serial1,CE,,
,-311.8ms,Serial1,00,,
,-309.7ms,Serial1,00,,
,-307.6ms,Serial1,00,,
,-305.5ms,Serial1,00,,
,-303.4ms,Serial1,00,,
,-301.3ms,Serial1,00,,
,-299.3ms,Serial1,08,,
,-297.2ms,Serial1,00,,
,-295.1ms,Serial1,00,,
,-293.0ms,Serial1,01,,
,-290.9ms,Serial1,00,,
,-288.8ms,Serial1,00,,
,-286.8ms,Serial1,24,,
,-284.7ms,Serial1,AE,,
,-282.6ms,Serial1,DF,,
,-280.6ms,Serial1,,CD,
,-278.5ms,Serial1,,00,
,-276.4ms,Serial1,,00,
,-274.3ms,Serial1,,00,
,-272.3ms,Serial1,,00,
,-270.2ms,Serial1,,00,
,-268.1ms,Serial1,,00,
,-266.0ms,Serial1,,00,
,-263.9ms,Serial1,,00,
,-261.9ms,Serial1,,00,
,-259.8ms,Serial1,,00,
,-257.7ms,Serial1,,00,
,-255.6ms,Serial1,,00,
,-253.5ms,Serial1,,00,
,-251.5ms,Serial1,,98,
,-249.4ms,Serial1,,DE,
,-214.0ms,Serial1,CE,,
,-211.9ms,Serial1,00,,
,-209.8ms,Serial1,00,,
,-207.7ms,Serial1,00,,
,-205.7ms,Serial1,00,,
,-203.6ms,Serial1,00,,
,-201.5ms,Serial1,00,,
,-199.4ms,Serial1,08,,
,-197.3ms,Serial1,00,,
,-195.3ms,Serial1,00,,
,-193.2ms,Serial1,01,,
,-191.1ms,Serial1,00,,
,-189.0ms,Serial1,00,,
,-186.9ms,Serial1,24,,
,-184.8ms,Serial1,AE,,
,-182.8ms,Serial1,DF,,
,-180.7ms,Serial1,,CD,
,-178.7ms,Serial1,,00,
,-176.6ms,Serial1,,00,
,-174.5ms,Serial1,,00,
,-172.4ms,Serial1,,00,
,-170.3ms,Serial1,,00,
,-168.3ms,Serial1,,00,
,-166.2ms,Serial1,,00,
,-164.1ms,Serial1,,00,
,-162.0ms,Serial1,,00,
,-159.9ms,Serial1,,00,
,-157.9ms,Serial1,,00,
,-155.8ms,Serial1,,00,
,-153.7ms,Serial1,,00,
,-151.6ms,Serial1,,98,
,-149.5ms,Serial1,,DE,
,-114.2ms,Serial1,CE,,
,-112.1ms,Serial1,00,,
,-110.0ms,Serial1,00,,
,-107.9ms,Serial1,00,,
,-105.8ms,Serial1,00,,
,-103.7ms,Serial1,00,,
,-101.7ms,Serial1,00,,
,-99.58ms,Serial1,08,,
,-97.50ms,Serial1,00,,
,-95.41ms,Serial1,00,,
,-93.33ms,Serial1,01,,
,-91.25ms,Serial1,00,,
,-89.17ms,Serial1,00,,
,-87.08ms,Serial1,24,,
,-85.00ms,Serial1,AE,,
,-82.92ms,Serial1,DF,,
,-80.90ms,Serial1,,CD,
,-78.82ms,Serial1,,00,
